Player,Team,Age,G,MPG,MP,PER,PPER,Year,Team PER,PPER
Al-Farouq Aminu,POR,27,69,30.02898551,2072,12,21.3,2018,,
Evan Turner,POR,29,79,25.74683544,2034,9.9,8.3,2018,,
Russell Westbrook,OKC,29,80,36.425,2914,24.7,20.3,2018,18.58,14.38
Paul George,OKC,27,79,36.59493671,2891,18.7,14.6,2018,,
Carmelo Anthony,OKC,33,78,32.06410256,2501,12.7,9.7,2018,,
Steven Adams,OKC,24,76,32.72368421,2487,20.6,16,2018,,
Jerami Grant,OKC,23,81,20.33333333,1647,16.2,11.3,2018,,
Donovan Mitchell,UTA,21,79,33.39240506,2638,16.7,16.8,2018,17.2,16.16
Joe Ingles,UTA,30,82,31.43902439,2578,14.4,12.3,2018,,
Ricky Rubio,UTA,27,77,29.27272727,2254,15.4,15.9,2018,,
Derrick Favors,UTA,26,77,27.96103896,2153,18.8,16.4,2018,,
Rudy Gobert,UTA,25,56,32.42857143,1816,20.7,19.4,2018,,
Jrue Holiday,NOP,27,81,36.13580247,2927,17.8,19.7,2018,16.68,15.68
Anthony Davis,NOP,24,75,36.36,2727,28.9,25.8,2018,,
E'Twaun Moore,NOP,28,82,31.53658537,2586,12.1,8.7,2018,,
Darius Miller,NOP,27,82,23.70731707,1944,9.3,8.6,2018,,
Rajon Rondo,NOP,31,65,26.23076923,1705,15.3,15.6,2018,,
LaMarcus Aldridge,SAS,32,75,33.45333333,2509,25,24.8,2018,16.6,14.08
Patty Mills,SAS,29,82,25.69512195,2107,11.8,10.4,2018,,
Kyle Anderson,SAS,24,74,26.72972973,1978,15.9,17.5,2018,,
Pau Gasol,SAS,37,77,23.53246753,1812,18.9,15,2018,,
Danny Green,SAS,30,70,25.58571429,1791,11.4,2.7,2018,,
Andrew Wiggins,MIN,22,82,36.32926829,2979,13,11.7,2018,18.68,13.84
Karl-Anthony Towns,MIN,22,82,35.58536585,2918,24.9,16.9,2018,,
Taj Gibson,MIN,32,82,33.24390244,2726,15.4,10.5,2018,,
Jeff Teague,MIN,29,70,33.01428571,2311,16.4,13.2,2018,,
Jimmy Butler,MIN,28,59,36.6779661,2164,23.7,16.9,2018,,
Isaiah Thomas,BOS,27,76,33.80263158,2569,26.5,18.1,2017,17.1,15.3
Marcus Smart,BOS,22,79,30.36708861,2399,12,11.8,2017,,
Jae Crowder,BOS,26,72,32.43055556,2335,14.9,14.5,2017,,
Al Horford,BOS,30,68,32.25,2193,17.7,20.1,2017,,
Avery Bradley,BOS,26,55,33.36363636,1835,14.4,12,2017,,
LeBron James,CLE,32,74,37.75675676,2794,27,30.1,2017,19.08,19.1
Kyrie Irving,CLE,24,72,35.06944444,2525,23,21.3,2017,,
Tristan Thompson,CLE,25,78,29.94871795,2336,15.3,14.5,2017,,
Iman Shumpert,CLE,26,76,25.48684211,1937,9,9.9,2017,,
Kevin Love,CLE,28,60,31.41666667,1885,21.1,19.7,2017,,
DeMar DeRozan,TOR,27,74,35.40540541,2620,24,16.6,2017,18.54,14.54
Kyle Lowry,TOR,30,60,37.4,2244,22.9,15.7,2017,,
Jonas Valanciunas,TOR,24,80,25.825,2066,20.1,15.6,2017,,
Serge Ibaka,TOR,25,80,25.0375,2003,13.8,14.4,2017,,
DeMarre Carroll,TOR,30,72,26.13888889,1882,11.9,10.4,2017,,
John Wall,WAS,26,78,36.35897436,2836,23.2,23,2017,17.94,16.76
Bradley Beal,WAS,23,77,34.85714286,2684,20.1,18,2017,,
Otto Porter,WAS,23,80,32.5625,2605,17.3,16.5,2017,,
Marcin Gortat,WAS,32,82,31.17073171,2556,15.4,14,2017,,
Markieff Morris,WAS,27,76,31.23684211,2374,13.7,12.3,2017,,
Dennis Schroder,ATL,23,79,31.4556962,2485,16.1,22.6,2017,16.28,14.2
Paul Millsap,ATL,31,69,33.95652174,2343,17.8,21.3,2017,,
Dwight Howard,ATL,31,74,29.71621622,2199,20.8,13.9,2017,,
Tim Hardaway,ATL,24,79,27.26582278,2154,15.2,3.8,2017,,
Kent Bazemore,ATL,27,73,26.89041096,1963,11.5,9.4,2017,,
Giannis Antetokounmpo,MIL,22,80,35.5625,2845,26.1,21.9,2017,16.24,14.4
Tony Snell,MIL,25,80,29.2,2336,9.7,10.8,2017,,
Matthew Dellavedova,MIL,26,76,26.13157895,1986,9.4,6.9,2017,,
Malcolm Brogdon,MIL,24,75,26.42666667,1982,14.9,8.1,2017,,
Greg Monroe,MIL,26,81,22.50617284,1823,21.1,24.3,2017,,
Paul George,IND,26,75,35.85333333,2689,20.2,21,2017,16.54,14.9
Jeff Teague,IND,28,82,32.40243902,2657,19.2,18.3,2017,,
Myles Turner,IND,20,81,31.37037037,2541,18.5,9.8,2017,,
Thaddeus Young,IND,28,74,30.22972973,2237,14.9,18,2017,,
Monta Ellis,IND,31,74,27,1998,9.9,7.4,2017,,
Jimmy Butler,CHI,27,76,36.96052632,2809,25.1,19.4,2017,17.22,18.14
Robin Lopez,CHI,28,81,28.03703704,2271,14.4,23.4,2017,,
Rajon Rondo,CHI,30,69,26.71014493,1843,13.6,22.9,2017,,
Dwyane Wade,CHI,35,60,29.86666667,1792,18.5,15.5,2017,,
Nikola Mirotic,CHI,25,70,23.98571429,1679,14.5,9.5,2017,,
Klay Thompson,GSW,26,78,33.96153846,2649,17.4,9.3,2017,20.08,18.46
Stephen Curry,GSW,28,79,33.39240506,2638,24.6,27.1,2017,,
Draymond Green,GSW,26,76,32.51315789,2471,16.5,17.9,2017,,
Kevin Durant,GSW,28,62,33.38709677,2070,27.6,27.5,2017,,
Andre Iguodala,GSW,33,76,26.28947368,1998,14.3,10.5,2017,,
Kawhi Leonard,SAS,25,74,33.43243243,2474,27.6,31.5,2017,18.34,16.6
LaMarcus Aldridge,SAS,31,72,32.43055556,2335,18.6,15.2,2017,,
Danny Green,SAS,29,68,26.57352941,1807,10.1,9.6,2017,,
Patty Mills,SAS,28,80,21.925,1754,15.2,11.6,2017,,
Pau Gasol,SAS,36,64,25.421875,1627,20.2,15.1,2017,,
James Harden,HOU,27,81,36.38271605,2947,27.4,23,2017,15.9,13.34
Trevor Ariza,HOU,31,80,34.6625,2773,12.4,10.5,2017,,
Eric Gordon,HOU,28,75,30.97333333,2323,13.2,11.5,2017,,
Ryan Anderson,HOU,28,72,29.38888889,2116,13.5,8.5,2017,,
Patrick Beverley,HOU,28,67,30.71641791,2058,13,13.2,2017,,
DeAndre Jordan,LAC,28,81,31.72839506,2570,21.8,17.3,2017,19.36,14.62
J.J. Redick,LAC,32,78,28.17948718,2198,14.8,4.8,2017,,
Austin Rivers,LAC,24,74,27.75675676,2054,11.4,3.1,2017,,
Blake Griffin,LAC,27,61,34.03278689,2076,22.6,20.1,2017,,
Chris Paul,LAC,31,61,31.49180328,1921,26.2,27.8,2017,,
Rudy Gobert,UTA,24,81,33.87654321,2744,23.3,21,2017,16.62,13.74
Gordon Hayward,UTA,26,73,34.46575342,2516,22.2,20.7,2017,,
Joe Ingles,UTA,29,82,24.04878049,1972,12.4,10.2,2017,,
Joe Johnson,UTA,35,78,23.62820513,1843,12.8,12.1,2017,,
Rodney Hood,UTA,24,59,27,1593,12.4,4.7,2017,,
Russell Westbrook,OKC,28,81,34.59259259,2802,30.6,27.7,2017,15.44,16.74
Steven Adams,OKC,23,80,29.8625,2389,16.5,15.4,2017,,
Andre Roberson,OKC,25,79,30.07594937,2376,9.6,16.2,2017,,
Victor Oladipo,OKC,24,67,33.1641791,2222,13.6,6.9,2017,,
Domantas Sabonis,OKC,20,81,20.14814815,1632,6.9,17.5,2017,,
Marc Gasol,MEM,32,74,34.2027027,2531,20.3,17.1,2017,17.44,14.6
Mike Conley,MEM,29,69,33.2173913,2292,23.2,27.4,2017,,
JaMychal Green,MEM,26,77,27.28571429,2101,13.5,8.8,2017,,
Zack Randolph,MEM,35,71,26.95774648,1914,18.5,11.6,2017,,
Vince Carter,MEM,40,73,24.64383562,1799,11.7,8.1,2017,,
CJ McCollum,POR,25,80,34.95,2796,19.9,13,2017,15.96,13.04
Damian Lillard,POR,26,75,35.92,2694,24.1,18.4,2017,,
Evan Turner,POR,24,79,28.53164557,2254,11.4,12.8,2017,,
Maurice Harkless,POR,23,77,28.87012987,2223,13.1,8.6,2017,,
Al-Farouq Aminu,POR,26,61,29.06557377,1773,11.3,12.4,2017,,
